,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O,0.9375,67.0,12.0,19.0,5.0,3.0,0.0,19.0,12.0,19.0,9.0,4.0,3.0,7.0,8.0
CCCCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCC(CC3=CC(OC3=O)C)O)O)O,0.918918918918919,44.0,3.0,7.0,0.0,3.0,0.0,7.0,3.0,7.0,25.0,0.0,2.0,2.0,3.0
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)O)C)C)C)OC1,1.0,41.0,4.0,8.0,4.0,3.0,0.0,8.0,4.0,8.0,3.0,4.0,3.0,7.0,7.0
CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C,0.4,44.0,2.0,4.0,2.0,0.0,0.0,4.0,2.0,4.0,10.0,0.0,0.0,0.0,2.0
CC=C(C)C(=O)OC1CC(C2(COC3C2C14COC(C4C(C3O)(C)C56C7CC(C5(O6)C)C8(C=COC8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C,0.7714285714285715,51.0,3.0,16.0,3.0,5.0,0.0,16.0,3.0,16.0,6.0,3.0,4.0,7.0,8.0
C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,0.0,20.0,3.0,5.0,0.0,0.0,2.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0
C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,0.23809523809523808,32.0,6.0,11.0,0.0,1.0,2.0,10.0,6.0,11.0,4.0,0.0,1.0,1.0,4.0
CC(=CCCC(C)(C=C)C=CC1=CC=C(C=C1)O)C,0.3333333333333333,19.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0
CC1(CCC2(CCC3(C(=CCC4C3(CC=C5C4(CC(C(C5(C)CO)O)O)C)C)C2C1)C)C(=O)O)C,0.8333333333333334,35.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,5.0,2.0,3.0,0.0,3.0,5.0
COC1=CC(=C2C(=C1)OC3=C(C=CC(=C3C2=O)O)O)O,0.07142857142857142,20.0,3.0,6.0,0.0,0.0,2.0,6.0,3.0,6.0,1.0,0.0,0.0,0.0,3.0
CC(=CCCC(=CCN1C2=CC(=CC(=C2NC3=C1C=C(C=C3)C(=O)C4=CC=CC=C4)C(=O)O)C(=O)C5=CC=CC=C5)C)C,0.16216216216216217,43.0,2.0,6.0,0.0,1.0,4.0,5.0,2.0,6.0,10.0,0.0,0.0,0.0,5.0
